iter	Logloss
0	0.680128011
1	0.6673612905
2	0.6542643471
3	0.6409789185
4	0.6296917797
5	0.6183215491
6	0.6061871143
7	0.5961221913
8	0.5851175713
9	0.5744338038
10	0.5635133601
11	0.5532618916
12	0.5428407464
13	0.5343229321
14	0.52496867
15	0.5158452851
16	0.5066838758
17	0.4987536051
18	0.4902041013
19	0.4820116901
20	0.4751180552
21	0.4680391314
22	0.46007425
23	0.4525523839
24	0.4455544076
25	0.438397538
26	0.4318968131
27	0.4253942802
28	0.4185887835
29	0.412484441
30	0.4068634476
31	0.4008755529
32	0.3953897528
33	0.3899578155
34	0.3848030607
35	0.3800273825
36	0.3753190091
37	0.3705647907
38	0.3659203023
39	0.361304784
40	0.3568183761
41	0.3527121495
42	0.348994496
43	0.345426042
44	0.3422201048
45	0.3383215102
46	0.3345193607
47	0.3311721621
48	0.327554877
49	0.3240026283
50	0.3208526136
51	0.3173040468
52	0.3141420771
53	0.3108375613
54	0.3080161723
55	0.3051420593
56	0.3021419424
57	0.2993354165
58	0.297223062
59	0.2949158324
60	0.2923807853
61	0.290096477
62	0.2876375241
63	0.2852533813
64	0.283116914
65	0.2809988195
66	0.2788747898
67	0.2767503364
68	0.2748295172
69	0.2728422899
70	0.2708914478
71	0.2690832351
72	0.2673536626
73	0.265689801
74	0.2638750027
75	0.2623726115
76	0.2606923949
77	0.2590549302
78	0.2575191963
79	0.2559265075
80	0.2544308169
81	0.253094297
82	0.2515444932
83	0.2503107344
84	0.2490484254
85	0.2477222797
86	0.2463663253
87	0.2451863743
88	0.2439624824
89	0.2427764195
90	0.241680272
91	0.2407468605
92	0.2396530003
93	0.2386813713
94	0.2375889221
95	0.2365203435
96	0.2355268194
97	0.2345226859
98	0.2334913604
99	0.2325213631
100	0.2315032329
101	0.230712276
102	0.2298445129
103	0.2289953474
104	0.2282061921
105	0.2273188657
106	0.2265488775
107	0.2258828596
108	0.2251284347
109	0.2245963801
110	0.2240825515
111	0.2234427313
112	0.2228795093
113	0.2222052563
114	0.2216100155
115	0.2210355872
116	0.2204460264
117	0.219950127
118	0.2193071798
119	0.2185875836
120	0.2180954387
121	0.2174680705
122	0.2169646962
123	0.2163742442
124	0.2157936953
125	0.2152714399
126	0.2147874041
127	0.2142614284
128	0.2138088973
129	0.2133318839
130	0.2129090899
131	0.2125002978
132	0.2120852446
133	0.2115792556
134	0.2112004953
135	0.2108005766
136	0.2104659567
137	0.2100572958
138	0.2096509528
139	0.2092601243
140	0.2087759893
141	0.2082886452
142	0.2079160791
143	0.2075605635
144	0.2072357442
145	0.2068426323
146	0.2065205068
147	0.2062645137
148	0.2059372145
149	0.205645969
150	0.2053245772
151	0.2049489393
152	0.2046104928
153	0.2042738641
154	0.2039991668
155	0.203730386
156	0.2034224564
157	0.2031122795
158	0.2028230421
159	0.2025050061
160	0.2021700832
161	0.2019668328
162	0.2017323661
163	0.2014380937
164	0.2011628214
165	0.2009238912
166	0.2007261686
167	0.2005488549
168	0.2002907875
169	0.2000824618
170	0.1999104191
171	0.1997337474
172	0.1995544615
173	0.1993410408
174	0.1991243518
175	0.1989043716
176	0.1986831645
177	0.1984572063
178	0.1982209993
179	0.1980073916
180	0.1978026162
181	0.1976108368
182	0.197401131
183	0.1972388977
184	0.1970666909
185	0.1968400832
186	0.1966597788
187	0.1965314129
188	0.1963435688
189	0.1961659033
190	0.1960020082
191	0.1958657905
192	0.1957063381
193	0.195469031
194	0.1953269989
195	0.1951556084
196	0.194964324
197	0.1948557168
198	0.1946897831
199	0.1945433018
200	0.1943746804
201	0.1942391022
202	0.1941296809
203	0.193971154
204	0.1938212445
205	0.1936439413
206	0.1934843874
207	0.1933450354
208	0.1932231493
209	0.1930818499
210	0.1929324682
211	0.1928369926
212	0.1927143866
213	0.192604782
214	0.1924867726
215	0.1923829134
216	0.1922398706
217	0.1921255443
218	0.192019874
219	0.1918991935
220	0.1918042421
221	0.1916892554
222	0.1915647362
223	0.1914497388
224	0.1913727541
225	0.1912774621
226	0.191143031
227	0.1910733256
228	0.1909594251
229	0.1908709852
230	0.1907833694
231	0.1906876958
232	0.190580457
233	0.1905087215
234	0.1904416848
235	0.190321893
236	0.1902445496
237	0.1901297438
238	0.1900447744
239	0.1899477656
240	0.1898393399
241	0.1897607729
242	0.189667528
243	0.1895639856
244	0.1894655083
245	0.1893804881
246	0.1892849442
247	0.1892190426
248	0.1891474678
249	0.1890554353
250	0.1889804494
251	0.1889226621
252	0.1888357858
253	0.1887817268
254	0.1887267682
255	0.1886211864
256	0.188537495
257	0.1884575189
258	0.1883926943
259	0.1883420408
260	0.1882612899
261	0.188183357
262	0.1881128553
263	0.1880355432
264	0.1879740707
265	0.1879075285
266	0.1878206739
267	0.1877426531
268	0.1876898224
269	0.1876086846
270	0.1875519317
271	0.1874997503
272	0.1874351719
273	0.1873489399
274	0.1872875482
275	0.1872337352
276	0.1871818413
277	0.1871235309
278	0.1870588572
279	0.1869964678
280	0.1869127902
281	0.1868273991
282	0.1867722056
283	0.1867076703
284	0.1866497029
285	0.1866033205
286	0.1865285309
287	0.1864468473
288	0.1863887519
289	0.186332875
290	0.1862798207
291	0.1862225834
292	0.186170404
293	0.1860946264
294	0.1860311316
295	0.1859947975
296	0.1859197873
297	0.1858518743
298	0.1857709839
299	0.1857060424
300	0.1856323815
301	0.1855850583
302	0.1855379277
303	0.1854645302
304	0.1854190301
305	0.185349003
306	0.1852708391
307	0.1852357568
308	0.1851858982
309	0.1851230159
310	0.1850695171
311	0.1850036759
312	0.1849512937
313	0.1848511577
314	0.1848104812
315	0.184772077
316	0.1847193016
317	0.1846671315
318	0.1846302748
319	0.1845965801
320	0.1845574572
