iter	Passed	Remaining
0	179	287126
1	211	168708
2	230	122505
3	260	103839
4	289	92228
5	305	81259
6	334	76234
7	345	68724
8	374	66151
9	410	65334
10	441	63737
11	470	62212
12	499	60920
13	514	58283
14	546	57712
15	575	57005
16	608	56649
17	648	56956
18	680	56632
19	697	55078
20	707	53190
21	725	52009
22	755	51784
23	786	51646
24	818	51552
25	853	51687
26	893	52067
27	924	51923
28	953	51651
29	992	51956
30	1025	51927
31	1059	51935
32	1096	52079
33	1117	51457
34	1136	50810
35	1167	50701
36	1182	49935
37	1210	49771
38	1238	49555
39	1256	49012
40	1285	48872
41	1321	49004
42	1350	48895
43	1378	48748
44	1390	48061
45	1430	48331
46	1460	48255
47	1488	48117
48	1520	48142
49	1559	48344
50	1590	48295
51	1623	48316
52	1654	48300
53	1684	48229
54	1715	48180
55	1753	48334
56	1786	48364
57	1817	48324
58	1833	47900
59	1864	47859
60	1894	47795
61	1923	47725
62	1954	47684
63	1989	47744
64	2016	47618
65	2045	47551
66	2075	47499
67	2101	47345
68	2131	47298
69	2160	47219
70	2189	47149
71	2224	47209
72	2254	47162
73	2283	47080
74	2312	47029
75	2331	46744
76	2359	46663
77	2387	46580
78	2417	46542
79	2450	46560
80	2481	46537
81	2511	46487
82	2540	46430
83	2571	46410
84	2602	46378
85	2631	46324
86	2668	46406
87	2699	46386
88	2728	46329
89	2760	46309
90	2793	46317
91	2807	46014
92	2839	46006
93	2867	45944
94	2903	45996
95	2936	46000
96	2964	45940
97	2995	45915
98	3025	45878
99	3055	45834
100	3084	45783
101	3114	45735
102	3147	45751
103	3180	45753
104	3209	45692
105	3237	45635
106	3265	45570
107	3289	45450
108	3318	45386
109	3332	45133
110	3365	45146
111	3399	45167
112	3427	45098
113	3455	45040
114	3482	44975
115	3511	44920
116	3540	44872
117	3572	44863
118	3607	44894
119	3644	44946
120	3673	44897
121	3702	44858
122	3731	44810
123	3761	44771
124	3792	44749
125	3829	44796
126	3862	44794
127	3891	44751
128	3920	44704
129	3950	44670
130	3979	44629
131	4008	44582
132	4038	44544
133	4073	44564
134	4107	44573
135	4135	44520
136	4163	44462
137	4192	44411
138	4219	44350
139	4249	44312
140	4283	44322
141	4317	44333
142	4345	44272
143	4373	44216
144	4401	44162
145	4429	44113
146	4457	44056
147	4473	43891
148	4506	43881
149	4539	43878
150	4575	43911
151	4616	43977
152	4654	44019
153	4690	44041
154	4724	44043
155	4762	44081
156	4794	44069
157	4826	44049
158	4857	44021
159	4889	44001
160	4920	43975
161	4952	43960
162	4996	44046
163	5029	44037
164	5059	44001
165	5087	43949
166	5115	43895
167	5143	43843
168	5176	43831
169	5210	43828
170	5239	43789
171	5269	43751
172	5298	43704
173	5326	43655
174	5355	43605
175	5384	43563
176	5417	43553
177	5451	43547
178	5481	43514
179	5510	43468
180	5540	43436
181	5571	43410
182	5604	43399
183	5638	43389
184	5674	43406
185	5706	43381
186	5736	43343
187	5767	43316
188	5801	43309
189	5831	43273
190	5865	43267
191	5900	43272
192	5930	43236
193	5963	43222
194	5993	43184
195	6023	43150
196	6055	43127
197	6089	43122
198	6125	43122
199	6154	43080
200	6183	43041
201	6212	42994
202	6239	42940
203	6273	42931
204	6307	42925
205	6341	42914
206	6371	42879
207	6400	42836
208	6429	42789
209	6457	42744
210	6491	42734
211	6526	42731
212	6560	42718
213	6588	42672
214	6620	42647
215	6648	42601
216	6682	42588
217	6716	42576
218	6753	42584
219	6787	42577
220	6817	42539
221	6847	42505
222	6878	42473
223	6907	42428
224	6940	42412
225	6975	42409
226	7008	42389
227	7037	42348
228	7067	42314
229	7095	42266
230	7124	42223
231	7157	42202
232	7191	42193
233	7222	42159
234	7251	42120
235	7281	42087
236	7309	42036
237	7338	41995
238	7382	42039
239	7425	42078
240	7463	42089
241	7498	42076
242	7533	42069
243	7572	42082
244	7614	42113
245	7653	42125
246	7684	42095
247	7714	42056
248	7745	42025
249	7780	42014
250	7811	41981
251	7843	41955
252	7880	41956
253	7910	41917
254	7940	41883
255	7970	41844
256	8000	41807
257	8029	41767
258	8063	41747
259	8097	41734
260	8128	41699
261	8157	41660
262	8186	41615
263	8215	41576
264	8244	41533
265	8277	41512
266	8312	41499
267	8344	41472
268	8373	41430
269	8402	41387
270	8430	41345
271	8458	41296
272	8485	41248
273	8521	41238
274	8559	41239
275	8591	41216
276	8622	41181
277	8657	41167
278	8687	41134
279	8717	41097
280	8755	41099
281	8794	41103
282	8825	41073
283	8855	41035
284	8887	41005
285	8917	40972
286	8948	40939
287	8983	40925
288	9020	40918
289	9052	40891
290	9080	40848
291	9109	40804
292	9137	40758
293	9165	40716
294	9201	40703
295	9234	40683
296	9266	40653
297	9295	40615
298	9325	40574
299	9353	40530
300	9384	40498
301	9411	40449
302	9451	40455
303	9487	40448
304	9519	40417
305	9549	40384
306	9580	40348
307	9609	40308
308	9641	40281
309	9676	40268
310	9715	40268
311	9750	40252
312	9779	40213
313	9813	40192
314	9843	40153
315	9873	40117
316	9908	40101
317	9942	40081
318	9976	40061
319	10005	40023
320	10036	39990
321	10065	39949
322	10092	39903
323	10125	39878
324	10159	39858
325	10205	39884
326	10235	39847
327	10263	39803
328	10291	39757
329	10318	39710
330	10349	39678
331	10381	39648
332	10417	39636
333	10444	39588
334	10473	39548
335	10501	39506
336	10531	39469
337	10565	39448
338	10598	39424
339	10633	39406
340	10664	39376
341	10695	39342
342	10729	39320
343	10759	39285
344	10792	39258
345	10827	39240
346	10861	39222
347	10892	39189
348	10922	39153
349	10955	39127
350	10985	39090
351	11021	39076
352	11055	39054
353	11087	39025
354	11115	38981
355	11144	38944
356	11176	38912
357	11203	38869
358	11238	38848
359	11271	38823
360	11303	38796
361	11331	38753
362	11359	38708
363	11387	38668
364	11417	38630
365	11448	38600
366	11482	38576
367	11518	38562
368	11551	38536
369	11581	38501
370	11612	38468
371	11643	38437
372	11679	38419
373	11718	38412
374	11750	38385
375	11781	38351
376	11811	38315
377	11842	38285
378	11872	38250
379	11904	38220
380	11939	38200
381	11974	38181
382	12004	38145
383	12033	38105
384	12061	38064
385	12092	38031
386	12125	38006
387	12160	37984
388	12194	37963
389	12223	37925
390	12250	37878
391	12278	37836
392	12307	37799
393	12340	37773
394	12375	37752
395	12406	37721
396	12437	37689
397	12466	37650
398	12497	37617
399	12526	37580
400	12560	37556
401	12595	37534
402	12631	37517
403	12662	37487
404	12694	37458
405	12727	37429
406	12757	37394
407	12792	37375
408	12828	37355
409	12863	37336
410	12895	37305
411	12924	37267
412	12956	37236
413	12985	37199
414	13018	37173
415	13050	37144
416	13083	37115
417	13111	37076
418	13139	37035
419	13168	36997
420	13197	36959
421	13225	36919
422	13256	36887
423	13292	36867
424	13326	36844
425	13354	36804
426	13388	36778
427	13416	36738
428	13444	36699
429	13479	36676
430	13516	36660
431	13553	36645
432	13585	36613
433	13615	36578
434	13648	36553
435	13682	36529
436	13719	36512
437	13754	36491
438	13790	36471
439	13823	36443
440	13853	36409
441	13885	36377
442	13918	36350
443	13954	36332
444	13990	36311
445	14021	36278
